#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,id,name
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T09:44:19.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T09:59:17.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:00:00.052Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:01:18.052Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:02:18.052Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:03:08.252Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:36:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:37:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:38:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:39:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:40:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:41:28.252Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:41:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:42:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:43:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:44:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:45:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:46:28.252Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:46:38.052Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:47:38.052Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:48:38.052Z,1,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:49:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:50:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:51:28.252Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:51:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z
,,0,2020-11-27T09:44:17Z,2020-11-27T11:01:28Z,2020-11-27T10:52:38.052Z,0,value,mustlink,9ede5c1fb496,18759,ASA1311Z

