AlertEvent,status=predicted_blinding,type=null duration=0 1606471199999
AlertEvent,status=predicted_blinding,type=start duration=138000 1606471200000
AlertEvent,status=predicted_blinding,type=end duration=0 1606471338000
AlertEvent,status=predicted_blinding,type=null duration=0 1606471338001
AlertEvent,status=predicted_blinding,type=null value=0i 1606471199999
AlertEvent,status=predicted_blinding,type=start value=1i 1606471200000
AlertEvent,status=predicted_blinding,type=end value=1i  1606471338000
AlertEvent,status=predicted_blinding,type=null value=0i 1606471338001
AlertEvent,status=blinding,type=null duration=0 1606473987999
AlertEvent,status=blinding,type=start duration=130000 1606473988000
AlertEvent,status=blinding,type=end duration=0 1606474118000
AlertEvent,status=blinding,type=null duration=0 1606474118001
AlertEvent,status=blinding,type=null value=0i 1606473987999
AlertEvent,status=blinding,type=start value=1i 1606473988000
AlertEvent,status=blinding,type=end value=1i  1606474118000
AlertEvent,status=blinding,type=null value=0i 1606474118001
